eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
25.8,26.0,5,0.0,Stimuli\Blank.png,0,0,0,28,28,28,,,,,,,,,,,,,25.821604099997785,0.021604099997784232,None,71.74519189999774,71.74519189999774,71.74519189999774,71.74519189999774,71.74519189999774,71.74519189999774,71.74519189999774,71.74519189999774,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
26.0,26.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_TeaBag_00001.png,0,0,0,29,29,29,,,,,,,,,,,,,26.00519219999842,0.0051921999984188005,None,71.92815249999694,71.92815249999694,71.92815249999694,71.92815249999694,71.92815249999694,71.92815249999694,71.92815249999694,71.92815249999694,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
26.8,27.0,5,0.0,Stimuli\Blank.png,0,0,0,30,30,30,,,,,,,,,,,,,26.805898999999044,0.0058989999990437525,None,72.72885659999884,72.72885659999884,72.72885659999884,72.72885659999884,72.72885659999884,72.72885659999884,72.72885659999884,72.72885659999884,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
27.0,27.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_IroningBoard_00001.png,0,0,0,31,31,31,,,,,,,,,,,,,27.006565199997567,0.006565199997567106,None,72.92904139999882,72.92904139999882,72.92904139999882,72.92904139999882,72.92904139999882,72.92904139999882,72.92904139999882,72.92904139999882,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
27.8,28.0,5,0.0,Stimuli\Blank.png,0,0,0,32,32,32,,,,,,,,,,,,,27.806941999999253,0.006941999999252602,None,73.72974609999801,73.72974609999801,73.72974609999801,73.72974609999801,73.72974609999801,73.72974609999801,73.72974609999801,73.72974609999801,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
28.0,28.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_DownwardDog_00007.png,0,0,0,33,33,33,,,,,,,,,,,,,28.00707209999746,0.007072099997458281,None,73.94749469999806,73.94749469999806,73.94749469999806,73.94749469999806,73.94749469999806,73.94749469999806,73.94749469999806,73.94749469999806,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
28.8,29.0,5,0.0,Stimuli\Blank.png,0,0,0,34,34,34,,,,,,,,,,,,,28.826555599996937,0.026555599996935797,None,74.76399119999769,74.76399119999769,74.76399119999769,74.76399119999769,74.76399119999769,74.76399119999769,74.76399119999769,74.76399119999769,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
29.0,29.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Walking_00004.png,0,0,0,35,35,35,,,,,,,,,,,,,29.025632599998062,0.025632599998061778,None,74.96416919999683,74.96416919999683,74.96416919999683,74.96416919999683,74.96416919999683,74.96416919999683,74.96416919999683,74.96416919999683,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
29.8,30.0,5,0.0,Stimuli\Blank.png,0,0,0,36,36,36,,,,,,,,,,,,,29.82517739999821,0.025177399998209893,None,75.74819499999649,75.74819499999649,75.74819499999649,75.74819499999649,75.74819499999649,75.74819499999649,75.74819499999649,75.74819499999649,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
30.0,30.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Walking_00004.png,1,1,0,37,37,37,,,,,,,,,,,,,30.008308199998282,0.008308199998282362,None,75.93168019999939,75.93168019999939,75.93168019999939,75.93168019999939,75.93168019999939,75.93168019999939,75.93168019999939,75.93168019999939,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
30.8,31.0,5,0.0,Stimuli\Blank.png,0,0,0,38,38,38,,,,,,,,,,,,,30.811533999996755,0.011533999996753863,None,76.74909229999685,76.74909229999685,76.74909229999685,76.74909229999685,76.74909229999685,76.74909229999685,76.74909229999685,76.74909229999685,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
31.0,31.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_QuadStretch_00001.png,0,0,0,39,39,39,,,,,,,,,,,,,31.026797499998793,0.026797499998792773,None,76.94925699999658,76.94925699999658,76.94925699999658,76.94925699999658,76.94925699999658,76.94925699999658,76.94925699999658,76.94925699999658,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
31.8,32.0,5,0.0,Stimuli\Blank.png,0,0,0,40,40,40,,,,,,,,,,,,,31.810123600000225,0.010123600000223831,None,77.7332811999986,77.7332811999986,77.7332811999986,77.7332811999986,77.7332811999986,77.7332811999986,77.7332811999986,77.7332811999986,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
32.0,32.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Falling_00006.png,0,0,0,41,41,41,,,,,,,,,,,,,32.01047819999803,0.010478199998033233,None,77.93346399999791,77.93346399999791,77.93346399999791,77.93346399999791,77.93346399999791,77.93346399999791,77.93346399999791,77.93346399999791,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
32.8,33.0,5,0.0,Stimuli\Blank.png,0,0,0,42,42,42,,,,,,,,,,,,,32.811086499998055,0.011086499998057775,None,78.73417759999938,78.73417759999938,78.73417759999938,78.73417759999938,78.73417759999938,78.73417759999938,78.73417759999938,78.73417759999938,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
33.0,33.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_PushUp_00004.png,0,0,0,43,43,43,,,,,,,,,,,,,33.01090269999986,0.010902699999860488,None,78.9343435999981,78.9343435999981,78.9343435999981,78.9343435999981,78.9343435999981,78.9343435999981,78.9343435999981,78.9343435999981,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
33.8,34.0,5,0.0,Stimuli\Blank.png,0,0,0,44,44,44,,,,,,,,,,,,,33.813240399998904,0.013240399998906582,None,79.73589419999917,79.73589419999917,79.73589419999917,79.73589419999917,79.73589419999917,79.73589419999917,79.73589419999917,79.73589419999917,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
