eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
37.0,37.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Lunging_00001.png,0,0,0,51,51,51,,,,,,,,,,,,,36.99978969999938,-0.0002103000006172806,None,60.63816770000085,60.63816770000085,60.63816770000085,60.63816770000085,60.63816770000085,60.63816770000085,60.63816770000085,60.63816770000085,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
37.8,38.0,5,0.0,Stimuli\Blank.png,0,0,0,52,52,52,,,,,,,,,,,,,37.81647089999933,0.01647089999933371,None,61.43895309999971,61.43895309999971,61.43895309999971,61.43895309999971,61.43895309999971,61.43895309999971,61.43895309999971,61.43895309999971,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
38.0,38.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_CobraPose_00001.png,1,1,0,53,53,53,,,,,,,,,,,,,37.99959459999991,-0.0004054000000905944,None,61.63904470000125,61.63904470000125,61.63904470000125,61.63904470000125,61.63904470000125,61.63904470000125,61.63904470000125,61.63904470000125,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
38.8,39.0,5,0.0,Stimuli\Blank.png,0,0,0,54,54,54,,,,,,,,,,,,,38.81679310000072,0.016793100000725758,None,62.43972610000128,62.43972610000128,62.43972610000128,62.43972610000128,62.43972610000128,62.43972610000128,62.43972610000128,62.43972610000128,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
39.0,39.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_SittingFloor_00007.png,0,0,0,55,55,55,,,,,,,,,,,,,39.000183500000276,0.00018350000027567148,None,62.63993090000076,62.63993090000076,62.63993090000076,62.63993090000076,62.63993090000076,62.63993090000076,62.63993090000076,62.63993090000076,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
39.8,40.0,5,0.0,Stimuli\Blank.png,0,0,0,56,56,56,,,,,,,,,,,,,39.81764010000006,0.017640100000065218,None,63.440636400000585,63.440636400000585,63.440636400000585,63.440636400000585,63.440636400000585,63.440636400000585,63.440636400000585,63.440636400000585,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
40.0,40.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_SittingFloor_00007.png,0,0,0,57,57,57,,,,,,,,,,,,,40.001279899999645,0.0012798999996448401,None,63.640817499999685,63.640817499999685,63.640817499999685,63.640817499999685,63.640817499999685,63.640817499999685,63.640817499999685,63.640817499999685,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
40.8,41.0,5,0.0,Stimuli\Blank.png,0,0,0,58,58,58,,,,,,,,,,,,,40.82039140000052,0.020391400000519866,None,64.45823110000129,64.45823110000129,64.45823110000129,64.45823110000129,64.45823110000129,64.45823110000129,64.45823110000129,64.45823110000129,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
41.0,41.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Standing_00005.png,0,0,0,59,59,59,,,,,,,,,,,,,41.02055350000046,0.02055350000046019,None,64.65839530000085,64.65839530000085,64.65839530000085,64.65839530000085,64.65839530000085,64.65839530000085,64.65839530000085,64.65839530000085,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
41.8,42.0,5,0.0,Stimuli\Blank.png,0,0,0,60,60,60,,,,,,,,,,,,,41.81941109999934,0.019411099999345538,None,65.4424755,65.4424755,65.4424755,65.4424755,65.4424755,65.4424755,65.4424755,65.4424755,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
