eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
33.8,34.0,5,0.0,Stimuli\Blank.png,0,0,0,44,44,44,,,,,,,,,,,,,33.83007530000032,0.03007530000031977,5,0.13292569999975967,65.92234800000006,65.92234800000006,65.92234800000006,65.92234800000006,65.92234800000006,65.92234800000006,65.92234800000006,65.92234800000006,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
34.0,34.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_DownwardDog_00005.png,0,0,0,45,45,45,,,,,,,,,,,,,34.029380500000116,0.029380500000115717,None,,66.12253750000036,66.12253750000036,66.12253750000036,66.12253750000036,66.12253750000036,66.12253750000036,66.12253750000036,66.12253750000036,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
34.8,35.0,5,0.0,Stimuli\Blank.png,0,0,0,46,46,46,,,,,,,,,,,,,34.8292347000006,0.029234700000600355,None,,66.90655530000004,66.90655530000004,66.90655530000004,66.90655530000004,66.90655530000004,66.90655530000004,66.90655530000004,66.90655530000004,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
35.0,35.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Jumping_00004.png,0,0,0,47,47,47,,,,,,,,,,,,,35.014543200000844,0.014543200000844081,None,,67.12344380000013,67.12344380000013,67.12344380000013,67.12344380000013,67.12344380000013,67.12344380000013,67.12344380000013,67.12344380000013,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
35.8,36.0,5,0.0,Stimuli\Blank.png,0,0,0,48,48,48,,,,,,,,,,,,,35.8464969000006,0.046496900000605024,5,0.13119800000004034,67.92411830000037,67.92411830000037,67.92411830000037,67.92411830000037,67.92411830000037,67.92411830000037,67.92411830000037,67.92411830000037,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
36.0,36.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_SittingStretch_00002.png,0,0,0,49,49,49,,,,,,,,,,,,,36.01308870000048,0.013088700000480458,None,,68.10763099999986,68.10763099999986,68.10763099999986,68.10763099999986,68.10763099999986,68.10763099999986,68.10763099999986,68.10763099999986,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
36.8,37.0,5,0.0,Stimuli\Blank.png,0,0,0,50,50,50,,,,,,,,,,,,,36.831099600000016,0.031099600000018768,None,,68.90831150000031,68.90831150000031,68.90831150000031,68.90831150000031,68.90831150000031,68.90831150000031,68.90831150000031,68.90831150000031,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
37.0,37.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Waving_00005.png,0,0,0,51,51,51,,,,,,,,,,,,,37.015012700000625,0.015012700000625046,None,,69.10849619999954,69.10849619999954,69.10849619999954,69.10849619999954,69.10849619999954,69.10849619999954,69.10849619999954,69.10849619999954,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
37.8,38.0,5,0.0,Stimuli\Blank.png,0,0,0,52,52,52,,,,,,,,,,,,,37.81517750000057,0.015177500000575606,5,0.16278999999940424,69.89252560000023,69.89252560000023,69.89252560000023,69.89252560000023,69.89252560000023,69.89252560000023,69.89252560000023,69.89252560000023,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
38.0,38.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Hanging_00002.png,0,0,0,53,53,53,,,,,,,,,,,,,38.01524430000063,0.015244300000631483,None,,70.10939030000009,70.10939030000009,70.10939030000009,70.10939030000009,70.10939030000009,70.10939030000009,70.10939030000009,70.10939030000009,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
38.8,39.0,5,0.0,Stimuli\Blank.png,0,0,0,54,54,54,,,,,,,,,,,,,38.81594570000016,0.01594570000015949,None,,70.89339759999984,70.89339759999984,70.89339759999984,70.89339759999984,70.89339759999984,70.89339759999984,70.89339759999984,70.89339759999984,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
39.0,39.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Jumping_00002.png,0,0,0,55,55,55,,,,,,,,,,,,,38.99994570000035,-5.429999964690069e-05,None,,71.09361160000026,71.09361160000026,71.09361160000026,71.09361160000026,71.09361160000026,71.09361160000026,71.09361160000026,71.09361160000026,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
39.8,40.0,5,0.0,Stimuli\Blank.png,0,0,0,56,56,56,,,,,,,,,,,,,39.81710280000061,0.017102800000614593,None,,71.89433120000012,71.89433120000012,71.89433120000012,71.89433120000012,71.89433120000012,71.89433120000012,71.89433120000012,71.89433120000012,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
40.0,40.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Running_00006.png,0,0,0,57,57,57,,,,,,,,,,,,,40.00009780000073,9.780000073078554e-05,None,,72.09446479999951,72.09446479999951,72.09446479999951,72.09446479999951,72.09446479999951,72.09446479999951,72.09446479999951,72.09446479999951,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
40.8,41.0,5,0.0,Stimuli\Blank.png,0,0,0,58,58,58,,,,,,,,,,,,,40.818104300000414,0.01810430000041663,None,,72.89522899999974,72.89522899999974,72.89522899999974,72.89522899999974,72.89522899999974,72.89522899999974,72.89522899999974,72.89522899999974,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
41.0,41.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Standing_00007.png,0,0,0,59,59,59,,,,,,,,,,,,,41.00131959999999,0.001319599999987986,None,,73.09534220000023,73.09534220000023,73.09534220000023,73.09534220000023,73.09534220000023,73.09534220000023,73.09534220000023,73.09534220000023,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
41.8,42.0,5,0.0,Stimuli\Blank.png,0,0,0,60,60,60,,,,,,,,,,,,,41.81880960000035,0.01880960000035259,None,,73.8960718999997,73.8960718999997,73.8960718999997,73.8960718999997,73.8960718999997,73.8960718999997,73.8960718999997,73.8960718999997,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
42.0,42.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Standing_00007.png,1,1,0,61,61,61,,,,,,,,,,,,,42.00435910000033,0.004359100000328908,1,0.30904000000009546,74.09623269999975,74.09623269999975,74.09623269999975,74.09623269999975,74.09623269999975,74.09623269999975,74.09623269999975,74.09623269999975,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
42.8,43.0,5,0.0,Stimuli\Blank.png,0,0,0,62,62,62,,,,,,,,,,,,,42.81992850000006,0.019928500000062854,None,,74.89694820000022,74.89694820000022,74.89694820000022,74.89694820000022,74.89694820000022,74.89694820000022,74.89694820000022,74.89694820000022,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
43.0,43.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Pushing_00005.png,0,0,0,63,63,63,,,,,,,,,,,,,43.004574600000524,0.0045746000005237875,None,,75.11379510000006,75.11379510000006,75.11379510000006,75.11379510000006,75.11379510000006,75.11379510000006,75.11379510000006,75.11379510000006,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
