eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
38.0,38.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Falling_00002.png,0,0,0,53,53,53,,,,,,,,,,,,,38.015975999995135,0.01597599999513477,None,72.83609599999909,72.83609599999909,72.83609599999909,72.83609599999909,72.83609599999909,72.83609599999909,72.83609599999909,72.83609599999909,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
38.8,39.0,5,0.0,Stimuli\Blank.png,0,0,0,54,54,54,,,,,,,,,,,,,38.80064929999935,0.0006492999993525927,None,73.63684740000463,73.63684740000463,73.63684740000463,73.63684740000463,73.63684740000463,73.63684740000463,73.63684740000463,73.63684740000463,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
39.0,39.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Walking_00004.png,0,0,0,55,55,55,,,,,,,,,,,,,39.015749099999084,0.015749099999084137,None,73.83697120000579,73.83697120000579,73.83697120000579,73.83697120000579,73.83697120000579,73.83697120000579,73.83697120000579,73.83697120000579,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
39.8,40.0,5,0.0,Stimuli\Blank.png,0,0,0,56,56,56,,,,,,,,,,,,,39.799856999998156,-0.0001430000018416422,None,74.62104779999936,74.62104779999936,74.62104779999936,74.62104779999936,74.62104779999936,74.62104779999936,74.62104779999936,74.62104779999936,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
40.0,40.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Falling_00006.png,0,0,0,57,57,57,,,,,,,,,,,,,40.00091160000011,0.0009116000001085922,None,74.82114810000348,74.82114810000348,74.82114810000348,74.82114810000348,74.82114810000348,74.82114810000348,74.82114810000348,74.82114810000348,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
40.8,41.0,5,0.0,Stimuli\Blank.png,0,0,0,58,58,58,,,,,,,,,,,,,40.80149420000089,0.0014942000008915102,None,75.6218674000047,75.6218674000047,75.6218674000047,75.6218674000047,75.6218674000047,75.6218674000047,75.6218674000047,75.6218674000047,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
41.0,41.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_SittingStretch_00005.png,0,0,0,59,59,59,,,,,,,,,,,,,41.00135929999669,0.001359299996693153,None,75.8220683000036,75.8220683000036,75.8220683000036,75.8220683000036,75.8220683000036,75.8220683000036,75.8220683000036,75.8220683000036,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
41.8,42.0,5,0.0,Stimuli\Blank.png,0,0,0,60,60,60,,,,,,,,,,,,,41.80161450000014,0.0016145000001444032,None,76.62279120000312,76.62279120000312,76.62279120000312,76.62279120000312,76.62279120000312,76.62279120000312,76.62279120000312,76.62279120000312,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
42.0,42.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_CobraPose_00003.png,0,0,0,61,61,61,,,,,,,,,,,,,42.002442999997584,0.0024429999975836836,None,76.82290240000293,76.82290240000293,76.82290240000293,76.82290240000293,76.82290240000293,76.82290240000293,76.82290240000293,76.82290240000293,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
42.8,43.0,5,0.0,Stimuli\Blank.png,0,0,0,62,62,62,,,,,,,,,,,,,42.80283409999538,0.002834099995382644,None,77.62365390000195,77.62365390000195,77.62365390000195,77.62365390000195,77.62365390000195,77.62365390000195,77.62365390000195,77.62365390000195,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
