subject,runtype,smoothing,median_rel,mean_rel,ROI,run
03,er,sm_2_vox,-0.01850164098724723,-0.022749171613267467,visually_responsive_voxels,3
03,miniblock,unsmoothed,0.02192960383727147,0.02437218507818515,FFA,1
03,miniblock,unsmoothed,0.030263353526899545,0.03330441541796014,FFA,2
03,miniblock,unsmoothed,0.0284570608016686,0.026905788751240275,FFA,3
03,miniblock,sm_2_vox,0.14037717741295624,0.13194595296681103,FFA,1
03,miniblock,sm_2_vox,0.08579131694343772,0.08974305761988735,FFA,2
03,miniblock,sm_2_vox,0.09709428439087231,0.08227421509303524,FFA,3
03,sus,unsmoothed,0.02515685106831641,0.03760253142479219,FFA,1
03,sus,unsmoothed,-0.019173931188656262,-0.020408829500706955,FFA,2
03,sus,unsmoothed,0.0621729255803161,0.05375497554264529,FFA,3
03,sus,sm_2_vox,0.13758141111582695,0.1421947977082123,FFA,1
03,sus,sm_2_vox,0.05879173471452996,0.05557174710850493,FFA,2
03,sus,sm_2_vox,0.15072546314298602,0.1478926148061626,FFA,3
03,er,unsmoothed,0.023796930646456854,0.0270848304734073,FFA,1
03,er,unsmoothed,0.040603457034303896,0.05051410437934906,FFA,2
03,er,unsmoothed,-0.01799751622445578,-0.0156872969522454,FFA,3
03,er,sm_2_vox,0.18583067935755393,0.1656751310370679,FFA,1
03,er,sm_2_vox,0.1269678592331883,0.12817977418042875,FFA,2
03,er,sm_2_vox,0.08759731310211732,0.08227659967787636,FFA,3
03,miniblock,unsmoothed,0.07193954091493168,0.07779228472528965,PPA,1
03,miniblock,unsmoothed,0.00729645747528912,0.01647538494409587,PPA,2
03,miniblock,unsmoothed,0.031275121883224635,0.0317083590869172,PPA,3
03,miniblock,sm_2_vox,0.1735986475329305,0.1637362921374334,PPA,1
03,miniblock,sm_2_vox,0.12094655907634536,0.10538571021950609,PPA,2
03,miniblock,sm_2_vox,0.0899006502190354,0.09028905364391553,PPA,3
03,sus,unsmoothed,0.01156309799382834,0.013431920425982409,PPA,1
03,sus,unsmoothed,-0.004048585867720719,-0.0001519656673911494,PPA,2
03,sus,unsmoothed,0.007027908860241808,0.008294729867074373,PPA,3
03,sus,sm_2_vox,0.0013619338277270979,0.0046549102509402755,PPA,1
03,sus,sm_2_vox,0.021198273693448164,0.014922963555397017,PPA,2
03,sus,sm_2_vox,0.052090152310465064,0.05957595648315458,PPA,3
03,er,unsmoothed,0.03312309018718768,0.03298904995208252,PPA,1
03,er,unsmoothed,0.026094427221873037,0.011931298949202562,PPA,2
03,er,unsmoothed,-0.0011756676714200038,0.0007491229883442338,PPA,3
03,er,sm_2_vox,0.04685307612218646,0.0419160705859361,PPA,1
03,er,sm_2_vox,0.04240097851144213,0.0390183572311302,PPA,2
03,er,sm_2_vox,0.02172856273120838,0.01537572918616452,PPA,3
03,miniblock,unsmoothed,-0.00806059970095628,-0.010447314392161863,EBA,1
03,miniblock,unsmoothed,0.006069469429945934,0.005661234240147753,EBA,2
03,miniblock,unsmoothed,-0.0016521543095758262,-0.004984090804269925,EBA,3
03,miniblock,sm_2_vox,0.08161464415950068,0.08904178925402667,EBA,1
03,miniblock,sm_2_vox,0.04227726115455048,0.04211779397554469,EBA,2
03,miniblock,sm_2_vox,0.013651941640084932,0.01419274283093512,EBA,3
03,sus,unsmoothed,0.004713956647588932,0.002746379922866557,EBA,1
03,sus,unsmoothed,-0.03996940834080456,-0.03431758829619154,EBA,2
03,sus,unsmoothed,0.02757827669136625,0.020911473404586562,EBA,3
03,sus,sm_2_vox,0.013751039746727102,0.019243651001084505,EBA,1
03,sus,sm_2_vox,0.03231893583080174,0.02697200857036909,EBA,2
03,sus,sm_2_vox,0.10563488577634625,0.08335739602454756,EBA,3
03,er,unsmoothed,0.01959246887338556,0.014531139684435226,EBA,1
03,er,unsmoothed,0.05283649512966066,0.048587075949832984,EBA,2
03,er,unsmoothed,-0.02419408454528213,-0.025156496373610233,EBA,3
