,ROI,runtype,component,value
379,PPA,er,29,0.5330042747873871
380,PPA,er,30,0.5371418614182153
381,PPA,er,31,0.5412121546122515
382,PPA,er,32,0.5451618510239032
383,PPA,er,33,0.5485486976651492
384,PPA,er,34,0.5519799958291538
385,PPA,er,35,0.5552718592416366
386,PPA,er,36,0.5583913969800377
387,PPA,er,37,0.5615345593108818
388,PPA,er,38,0.5645154930050109
389,PPA,er,39,0.5672181655931341
390,EBA,er,1,0.22138391714542038
391,EBA,er,2,0.2805600935780043
392,EBA,er,3,0.3183940023683177
393,EBA,er,4,0.3506232063645471
394,EBA,er,5,0.37368508727529937
395,EBA,er,6,0.39184054046900835
396,EBA,er,7,0.40717831607585514
397,EBA,er,8,0.41890084209837297
398,EBA,er,9,0.42800006467441093
399,EBA,er,10,0.436865427085212
400,EBA,er,11,0.44495190849698235
401,EBA,er,12,0.4517540174595435
402,EBA,er,13,0.45852427171926935
403,EBA,er,14,0.46426672809554004
404,EBA,er,15,0.4696224194227481
405,EBA,er,16,0.4743949945560206
406,EBA,er,17,0.47902309428192985
407,EBA,er,18,0.4835752608003763
408,EBA,er,19,0.48802248043202195
409,EBA,er,20,0.4915284909860544
410,EBA,er,21,0.4953965157459713
411,EBA,er,22,0.4990128885955924
412,EBA,er,23,0.5024559299847782
413,EBA,er,24,0.5055485240457507
414,EBA,er,25,0.5085501347423558
415,EBA,er,26,0.511444084206911
416,EBA,er,27,0.5141302451903853
417,EBA,er,28,0.5167248007081142
418,EBA,er,29,0.5193552126117882
419,EBA,er,30,0.5216413449429191
420,EBA,er,31,0.5240197198707514
421,EBA,er,32,0.5261968536663317
422,EBA,er,33,0.5283658457267165
423,EBA,er,34,0.5306017263827064
424,EBA,er,35,0.5326245388127069
425,EBA,er,36,0.5346787133186737
426,EBA,er,37,0.5365008217366178
427,EBA,er,38,0.5383202195012105
428,EBA,er,39,0.5401637235577316
429,EVC,er,1,0.3284040178651678
430,EVC,er,2,0.417868735954135
431,EVC,er,3,0.449082916897254
432,EVC,er,4,0.47446665420528894
433,EVC,er,5,0.4925436493713205
434,EVC,er,6,0.507603069158934
435,EVC,er,7,0.5202582069082101
436,EVC,er,8,0.5303925370941167
437,EVC,er,9,0.5390221624942308
438,EVC,er,10,0.5476777636167565
439,EVC,er,11,0.5559752491874953
440,EVC,er,12,0.5630048849021255
