subject,runtype,smoothing,median_rel,mean_rel,ROI,comparison
03,sus,unsmoothed,0.02657398239976748,0.04272701651469565,FFA,1
03,sus,unsmoothed,0.03611248828809748,0.042339813594760176,FFA,2
03,sus,unsmoothed,0.07443053614507529,0.08010656397826274,FFA,3
03,sus,sm_2_vox,0.15150297606932717,0.1425297904916769,FFA,1
03,sus,sm_2_vox,0.1321606184088954,0.1544266757424288,FFA,2
03,sus,sm_2_vox,0.21777303414083954,0.21398150060869808,FFA,3
03,er,unsmoothed,0.03311260174603141,0.030504935935651064,FFA,1
03,er,unsmoothed,0.015890019607728283,0.021680853877845553,FFA,2
03,er,unsmoothed,0.021324568811285,0.023123208843469793,FFA,3
03,er,sm_2_vox,0.05258311101776807,0.06983936580793185,FFA,1
03,er,sm_2_vox,0.10913609958543108,0.10347799829295425,FFA,2
03,er,sm_2_vox,0.15528013005811536,0.14061677746175855,FFA,3
03,miniblock,unsmoothed,0.04409821939056223,0.04002868728760101,PPA,1
03,miniblock,unsmoothed,0.053381934189680603,0.05490283337611658,PPA,2
03,miniblock,unsmoothed,0.059391683237018426,0.06067524369424703,PPA,3
03,miniblock,sm_2_vox,0.15407534640896695,0.159798054905145,PPA,1
03,miniblock,sm_2_vox,0.16209399159388133,0.15740883785678683,PPA,2
03,miniblock,sm_2_vox,0.24145687452231104,0.22434590653508868,PPA,3
03,sus,unsmoothed,0.026673396316387432,0.032580490192074166,PPA,1
03,sus,unsmoothed,0.01240653433439437,0.008968428545444343,PPA,2
03,sus,unsmoothed,0.021581309681124372,0.021412064139050477,PPA,3
03,sus,sm_2_vox,0.12479053800003936,0.12230778497195709,PPA,1
03,sus,sm_2_vox,0.0958172289263328,0.1013347076866662,PPA,2
03,sus,sm_2_vox,0.09075989808421062,0.08779635226598108,PPA,3
03,er,unsmoothed,0.03088453867510836,0.02483606890786268,PPA,1
03,er,unsmoothed,-0.03126936844899956,-0.020070083924884567,PPA,2
03,er,unsmoothed,-0.022496257012720774,-0.014137660933130942,PPA,3
03,er,sm_2_vox,0.05996131249665842,0.04766644673966312,PPA,1
03,er,sm_2_vox,0.014138121432599945,0.016806161545342115,PPA,2
03,er,sm_2_vox,-0.0021197767381761143,0.006853969066467256,PPA,3
03,miniblock,unsmoothed,0.025752724686256202,0.03151378045349441,EBA,1
03,miniblock,unsmoothed,0.020881158678357208,0.027593923380223075,EBA,2
03,miniblock,unsmoothed,0.03425033672145981,0.03535104052539779,EBA,3
03,miniblock,sm_2_vox,0.13575094180692082,0.13607264054438045,EBA,1
03,miniblock,sm_2_vox,0.12432105008916561,0.12740312050368666,EBA,2
03,miniblock,sm_2_vox,0.17582110193629202,0.17476499128643486,EBA,3
03,sus,unsmoothed,0.014068424499665076,0.012700948409171504,EBA,1
03,sus,unsmoothed,0.0018460182217924503,0.005948452303227764,EBA,2
03,sus,unsmoothed,0.044166069453071555,0.04335793177199104,EBA,3
03,sus,sm_2_vox,0.06820807131115074,0.08473625283459721,EBA,1
03,sus,sm_2_vox,0.04578092005720466,0.0821241103445376,EBA,2
03,sus,sm_2_vox,0.16287729360203307,0.16808870279081686,EBA,3
03,er,unsmoothed,-0.0024509876542284093,0.0023566981435681777,EBA,1
03,er,unsmoothed,0.03269008167090669,0.028740170917779046,EBA,2
03,er,unsmoothed,-0.02093765642170118,-0.019643090528420025,EBA,3
03,er,sm_2_vox,0.02337061174399291,0.01857753495732085,EBA,1
03,er,sm_2_vox,0.06653942635829765,0.06161717016992379,EBA,2
03,er,sm_2_vox,0.052191230771076444,0.047875637265986155,EBA,3
03,miniblock,unsmoothed,0.039398956630393375,0.04663072243564599,EVC,1
03,miniblock,unsmoothed,0.06873206506075401,0.0762795648457433,EVC,2
03,miniblock,unsmoothed,0.05523801035692508,0.06339851717792917,EVC,3
03,miniblock,sm_2_vox,0.11823259914651318,0.13979755448791553,EVC,1
03,miniblock,sm_2_vox,0.16219350196931218,0.18678705055863506,EVC,2
03,miniblock,sm_2_vox,0.16521316263463684,0.19140440000616202,EVC,3
03,sus,unsmoothed,0.017386324479244257,0.023535746239712038,EVC,1
03,sus,unsmoothed,0.049482486113018954,0.06379683130665449,EVC,2
03,sus,unsmoothed,0.036170670378726774,0.04432519664751813,EVC,3
03,sus,sm_2_vox,0.05009301485823782,0.07198046162172268,EVC,1
03,sus,sm_2_vox,0.15522778757220207,0.1885739853697613,EVC,2
03,sus,sm_2_vox,0.12767794920479242,0.13609379717569467,EVC,3
03,er,unsmoothed,0.009552224994053594,0.010908066605389944,EVC,1
03,er,unsmoothed,0.0026085965884305173,0.0016401461136690922,EVC,2
03,er,unsmoothed,0.0033335337091143363,0.0038036463769972177,EVC,3
03,er,sm_2_vox,0.015006669787972663,0.01900827783644411,EVC,1
03,er,sm_2_vox,0.07081787790216212,0.06872190913519068,EVC,2
03,er,sm_2_vox,0.021940515228290713,0.025295955417571386,EVC,3
