,ROI,Design,Subject,Accuracy,group
319,FFA,er,07,49.814815521240234,inanimate
320,FFA,er,07,57.28070068359375,scene
321,FFA,er,08,62.592594146728516,isanimate
322,FFA,er,08,53.33333206176758,inanimate
323,FFA,er,08,61.53508758544922,scene
324,FFA,er,10,64.0740737915039,isanimate
325,FFA,er,10,50.74074172973633,inanimate
326,FFA,er,10,53.99122619628906,scene
327,FFA,er,11,61.66666793823242,isanimate
328,FFA,er,11,52.22222137451172,inanimate
329,FFA,er,11,55.57017517089844,scene
330,FFA,er,12,62.22222137451172,isanimate
331,FFA,er,12,61.48147964477539,inanimate
332,FFA,er,12,62.01754379272461,scene
333,FFA,er,13,63.88888931274414,isanimate
334,FFA,er,13,53.88888931274414,inanimate
335,FFA,er,13,57.105262756347656,scene
336,FFA,er,14,62.96296310424805,isanimate
337,FFA,er,14,62.03703689575195,inanimate
338,FFA,er,14,51.578948974609375,scene
339,FFA,er,15,68.70370483398438,isanimate
340,FFA,er,15,59.25925827026367,inanimate
341,FFA,er,15,62.85087585449219,scene
342,FFA,er,17,61.11111068725586,isanimate
343,FFA,er,17,50.37036895751953,inanimate
344,FFA,er,17,55.438594818115234,scene
345,FFA,er,18,70.74073791503906,isanimate
346,FFA,er,18,52.407405853271484,inanimate
347,FFA,er,18,67.5,scene
348,FFA,er,19,54.44444274902344,isanimate
349,FFA,er,19,57.96296310424805,inanimate
350,FFA,er,19,48.859649658203125,scene
351,FFA,er,20,57.96296310424805,isanimate
352,FFA,er,20,46.296295166015625,inanimate
353,FFA,er,20,49.342105865478516,scene
354,FFA,er,21,68.88888549804688,isanimate
355,FFA,er,21,52.407405853271484,inanimate
356,FFA,er,21,58.55263137817383,scene
357,FFA,er,22,59.25925827026367,isanimate
358,FFA,er,22,67.59259033203125,inanimate
359,FFA,er,22,65.87718963623047,scene
360,PPA,miniblock,01,53.51852035522461,isanimate
361,PPA,miniblock,01,54.25925827026367,inanimate
362,PPA,miniblock,01,56.31578826904297,scene
363,PPA,miniblock,02,83.33333587646484,isanimate
364,PPA,miniblock,02,84.44444274902344,inanimate
365,PPA,miniblock,02,80.70175170898438,scene
366,PPA,miniblock,03,49.62963104248047,isanimate
367,PPA,miniblock,03,61.296295166015625,inanimate
368,PPA,miniblock,03,53.20175552368164,scene
369,PPA,miniblock,04,86.85185241699219,isanimate
370,PPA,miniblock,04,86.29629516601562,inanimate
371,PPA,miniblock,04,85.70175170898438,scene
372,PPA,miniblock,05,56.85185241699219,isanimate
373,PPA,miniblock,05,52.96296310424805,inanimate
374,PPA,miniblock,05,52.14912414550781,scene
375,PPA,miniblock,06,50.37036895751953,isanimate
376,PPA,miniblock,06,55.74074172973633,inanimate
377,PPA,miniblock,06,46.79824447631836,scene
378,PPA,miniblock,07,53.88888931274414,isanimate
379,PPA,miniblock,07,49.44444274902344,inanimate
380,PPA,miniblock,07,53.94736862182617,scene
381,PPA,miniblock,08,63.88888931274414,isanimate
382,PPA,miniblock,08,59.25925827026367,inanimate
383,PPA,miniblock,08,58.596492767333984,scene
384,PPA,miniblock,10,66.48148345947266,isanimate
385,PPA,miniblock,10,53.703704833984375,inanimate
386,PPA,miniblock,10,60.043861389160156,scene
387,PPA,miniblock,11,49.44444274902344,isanimate
388,PPA,miniblock,11,60.0,inanimate
389,PPA,miniblock,11,53.72806930541992,scene
390,PPA,miniblock,12,85.74073791503906,isanimate
391,PPA,miniblock,12,90.18518829345703,inanimate
392,PPA,miniblock,12,84.7368392944336,scene
393,PPA,miniblock,13,59.25925827026367,isanimate
394,PPA,miniblock,13,55.185184478759766,inanimate
395,PPA,miniblock,13,53.07017517089844,scene
396,PPA,miniblock,14,46.48147964477539,isanimate
397,PPA,miniblock,14,55.55555725097656,inanimate
398,PPA,miniblock,14,55.614036560058594,scene
399,PPA,miniblock,15,44.25925827026367,isanimate
400,PPA,miniblock,15,50.925926208496094,inanimate
401,PPA,miniblock,15,53.68421173095703,scene
402,PPA,miniblock,17,48.33333206176758,isanimate
403,PPA,miniblock,17,49.074073791503906,inanimate
404,PPA,miniblock,17,49.8684196472168,scene
405,PPA,miniblock,18,61.296295166015625,isanimate
406,PPA,miniblock,18,58.51852035522461,inanimate
407,PPA,miniblock,18,47.456138610839844,scene
408,PPA,miniblock,19,79.81481170654297,isanimate
409,PPA,miniblock,19,81.29629516601562,inanimate
